Date,totalConfirmed,totalRecovered,totalFatalities,Population,Region
1/22/2020,555,28,17,25596885,Australia
1/23/2020,654,30,18,25596885,Australia
1/24/2020,941,36,26,25596885,Australia
1/25/2020,1434,39,42,25596885,Australia
1/26/2020,2118,52,56,25596885,Australia
1/27/2020,2927,61,82,25596885,Australia
1/28/2020,5578,107,131,25596885,Australia
1/29/2020,6167,126,133,25596885,Australia
1/30/2020,8235,143,171,25596885,Australia
1/31/2020,9927,222,213,25596885,Australia
2/1/2020,12038,284,259,25596885,Australia
2/2/2020,16787,472,362,25596885,Australia
2/3/2020,19887,623,426,25596885,Australia
2/4/2020,23898,852,492,25596885,Australia
2/5/2020,27643,1124,564,25596885,Australia
2/6/2020,30803,1487,634,25596885,Australia
2/7/2020,34396,2011,719,25596885,Australia
2/8/2020,37130,2616,806,25596885,Australia
2/9/2020,40160,3244,906,25596885,Australia
2/10/2020,42769,3946,1013,25596885,Australia
2/11/2020,44811,4683,1113,25596885,Australia
2/12/2020,45229,5149,1118,25596885,Australia
2/13/2020,60382,6294,1371,25596885,Australia
2/14/2020,66909,8057,1523,25596885,Australia
2/15/2020,69051,9394,1666,25596885,Australia
2/16/2020,71235,10864,1770,25596885,Australia
2/17/2020,73270,12582,1868,25596885,Australia
2/18/2020,75152,14351,2008,25596885,Australia
2/19/2020,75652,16120,2123,25596885,Australia
2/20/2020,76212,18176,2248,25596885,Australia
2/21/2020,76841,18887,2252,25596885,Australia
2/22/2020,78602,22883,2459,25596885,Australia
2/23/2020,78982,23391,2470,25596885,Australia
2/24/2020,79546,25224,2630,25596885,Australia
2/25/2020,80399,27902,2710,25596885,Australia
2/26/2020,81376,30381,2771,25596885,Australia
2/27/2020,82736,33271,2814,25596885,Australia
2/28/2020,84121,36705,2873,25596885,Australia
2/29/2020,86014,39776,2942,25596885,Australia
3/1/2020,88397,42710,2996,25596885,Australia
3/2/2020,90375,45596,3085,25596885,Australia
3/3/2020,92959,48222,3160,25596885,Australia
3/4/2020,95276,51164,3255,25596885,Australia
3/5/2020,98040,53790,3348,25596885,Australia
3/6/2020,102040,55859,3460,25596885,Australia
3/7/2020,106102,58351,3559,25596885,Australia
3/8/2020,110062,60686,3803,25596885,Australia
3/9/2020,114025,62485,3987,25596885,Australia
3/10/2020,119036,64396,4267,25596885,Australia
3/11/2020,126717,66994,4611,25596885,Australia
3/12/2020,132506,68316,4917,25596885,Australia
3/13/2020,146887,70243,5414,25596885,Australia
3/14/2020,157965,72614,5834,25596885,Australia
3/15/2020,169258,76024,6475,25596885,Australia
3/16/2020,184002,78077,7153,25596885,Australia
3/17/2020,199932,80829,7964,25596885,Australia
3/18/2020,219462,83312,8867,25596885,Australia
3/19/2020,246618,84949,9981,25596885,Australia
3/20/2020,277253,87394,11460,25596885,Australia
3/21/2020,309223,91660,13181,25596885,Australia
3/22/2020,343456,97875,14855,25596885,Australia
3/23/2020,386823,98341,16798,25596885,Australia
3/24/2020,428295,107882,19080,25596885,Australia
3/25/2020,479279,113592,21878,25596885,Australia
3/26/2020,542006,121961,24894,25596885,Australia
3/27/2020,606988,130665,28389,25596885,Australia
3/28/2020,674380,138958,32102,25596885,Australia
3/29/2020,733777,148425,35572,25596885,Australia
3/30/2020,799018,163871,39620,25596885,Australia
3/31/2020,875842,176233,44368,25596885,Australia
4/1/2020,952368,191594,49864,25596885,Australia
4/2/2020,1033702,208232,56101,25596885,Australia
4/3/2020,1116958,223240,62202,25596885,Australia
4/4/2020,1197315,243255,68355,25596885,Australia
4/5/2020,1269291,256660,73537,25596885,Australia
4/6/2020,1342524,272996,79478,25596885,Australia
4/7/2020,1420265,295852,87709,25596885,Australia
4/8/2020,1504296,324205,94461,25596885,Australia
4/9/2020,1590776,348545,102234,25596885,Australia
4/10/2020,1678316,369654,109626,25596885,Australia
4/11/2020,1754531,395177,115861,25596885,Australia
4/12/2020,1849884,414057,121671,25596885,Australia
4/13/2020,1920029,440589,127587,25596885,Australia
4/14/2020,1991375,465226,134564,25596885,Australia
4/15/2020,2073248,501140,142915,25596885,Australia
4/16/2020,2170168,531228,150218,25596885,Australia
4/17/2020,2257981,556504,158585,25596885,Australia
4/18/2020,2331375,580004,164598,25596885,Australia
4/19/2020,2411347,610776,169859,25596885,Australia
4/20/2020,2485850,632070,175723,25596885,Australia
4/21/2020,2561729,666268,182914,25596885,Australia
4/22/2020,2639748,695427,189641,25596885,Australia
4/23/2020,2727991,723900,196485,25596885,Australia
4/24/2020,2812178,773563,203142,25596885,Australia
4/25/2020,2895859,800478,208774,25596885,Australia
4/26/2020,2968049,828213,212708,25596885,Australia
4/27/2020,3037754,854597,217382,25596885,Australia
4/28/2020,3113246,886905,223929,25596885,Australia
4/29/2020,3190735,927991,230657,25596885,Australia
4/30/2020,3274139,991860,236657,25596885,Australia
5/1/2020,3361356,1028773,241807,25596885,Australia
5/2/2020,3441576,1068602,247285,25596885,Australia
5/3/2020,3518135,1099811,250750,25596885,Australia
5/4/2020,3595235,1132789,254843,25596885,Australia
5/5/2020,3675767,1168353,260735,25596885,Australia
5/6/2020,3765725,1213181,267283,25596885,Australia
5/7/2020,3854800,1251573,272579,25596885,Australia
5/8/2020,3946080,1287144,278054,25596885,Australia
5/9/2020,4031014,1339671,282349,25596885,Australia
5/10/2020,4106229,1372418,285932,25596885,Australia
5/11/2020,4183146,1418514,289404,25596885,Australia
5/12/2020,4267441,1454487,294925,25596885,Australia
5/13/2020,4352288,1509221,299999,25596885,Australia
5/14/2020,4449054,1548010,305183,25596885,Australia
5/15/2020,4545482,1595214,310305,25596885,Australia
5/16/2020,4639704,1650882,314483,25596885,Australia
5/17/2020,4717128,1691058,317761,25596885,Australia
5/18/2020,4805859,1743291,321454,25596885,Australia
5/19/2020,4903092,1794578,326174,25596885,Australia
5/20/2020,5005903,1852782,330936,25596885,Australia
5/21/2020,5112508,1903109,335657,25596885,Australia
5/22/2020,5218600,2010883,340851,25596885,Australia
5/23/2020,5323287,2065144,344764,25596885,Australia
5/24/2020,5417853,2119904,347881,25596885,Australia
5/25/2020,5504248,2182974,349073,25596885,Australia
5/26/2020,5597560,2237487,353180,25596885,Australia
5/27/2020,5700620,2299984,358326,25596885,Australia
5/28/2020,5820202,2366128,362944,25596885,Australia
5/29/2020,5941244,2442530,367536,25596885,Australia
5/30/2020,6078261,2512371,371610,25596885,Australia
5/31/2020,6184917,2587995,374585,25596885,Australia
6/1/2020,6280511,2642014,377659,25596885,Australia
6/2/2020,6401952,2745503,382389,25596885,Australia
6/3/2020,6520126,2823826,387828,25596885,Australia
6/4/2020,6647409,2893201,392948,25596885,Australia
6/5/2020,6778310,2961470,397506,25596885,Australia
6/6/2020,6913202,3032661,401365,25596885,Australia
6/7/2020,7025172,3087174,404106,25596885,Australia
6/8/2020,7127703,3238069,407780,25596885,Australia
6/9/2020,7252461,3319577,412626,25596885,Australia
6/10/2020,7387034,3397617,417683,25596885,Australia
6/11/2020,7525216,3482583,422371,25596885,Australia
6/12/2020,7653814,3561404,426584,25596885,Australia
6/13/2020,7789270,3646521,430772,25596885,Australia
6/14/2020,7922027,3716489,434179,25596885,Australia
6/15/2020,8041844,3795899,437591,25596885,Australia
6/16/2020,8183744,3893306,444312,25596885,Australia
6/17/2020,8326301,4010712,449403,25596885,Australia
6/18/2020,8466697,4091352,454386,25596885,Australia
6/19/2020,8646596,4185831,460545,25596885,Australia
6/20/2020,8803922,4301148,464760,25596885,Australia
6/21/2020,8932267,4369462,468761,25596885,Australia
6/22/2020,9070200,4460616,472316,25596885,Australia
6/23/2020,9235569,4564277,477540,25596885,Australia
6/24/2020,9406545,4679639,482712,25596885,Australia
6/25/2020,9584905,4772159,487411,25596885,Australia
6/26/2020,9776335,4878560,492109,25596885,Australia
6/27/2020,9954911,4984662,496574,25596885,Australia
6/28/2020,10116803,5073538,499712,25596885,Australia
6/29/2020,10273032,5167095,503435,25596885,Australia
6/30/2020,10447289,5283995,508391,25596885,Australia
7/1/2020,10664533,5399644,513315,25596885,Australia
7/2/2020,10872669,5684046,518382,25596885,Australia
7/3/2020,11075391,5793586,523317,25596885,Australia
7/4/2020,11269302,5989144,527681,25596885,Australia
7/5/2020,11452292,6108201,531153,25596885,Australia
7/6/2020,11617941,6231444,534974,25596885,Australia
7/7/2020,11828915,6376192,540995,25596885,Australia
7/8/2020,12041312,6533754,546266,25596885,Australia
7/9/2020,12269423,6667978,551676,25596885,Australia
7/10/2020,12501740,6806999,556969,25596885,Australia
7/11/2020,12718142,6932390,561761,25596885,Australia
7/12/2020,12910765,7043899,565751,25596885,Australia
7/13/2020,13103070,7183816,569556,25596885,Australia
7/14/2020,13324389,7325684,575150,25596885,Australia
7/15/2020,13555611,7485111,580582,25596885,Australia
7/16/2020,13808279,7637115,586332,25596885,Australia
7/17/2020,14050533,7796577,592988,25596885,Australia
