Confirmed,Deceased,Recovered,Date,totalConfirmed,totalFatalities,totalRecovered,Region,Population
81,2,9,3/14/2020,81,2,9,India,1371360351
27,0,4,3/15/2020,108,2,13,India,1371360351
15,0,1,3/16/2020,123,2,14,India,1371360351
11,1,1,3/17/2020,134,3,15,India,1371360351
37,0,0,3/18/2020,171,3,15,India,1371360351
27,1,5,3/19/2020,198,4,20,India,1371360351
58,0,3,3/20/2020,256,4,23,India,1371360351
78,0,0,3/21/2020,334,4,23,India,1371360351
67,3,0,3/22/2020,401,7,23,India,1371360351
102,2,12,3/23/2020,503,9,35,India,1371360351
64,1,5,3/24/2020,567,10,40,India,1371360351
90,1,3,3/25/2020,657,11,43,India,1371360351
65,5,7,3/26/2020,722,16,50,India,1371360351
164,3,26,3/27/2020,886,19,76,India,1371360351
143,5,9,3/28/2020,1029,24,85,India,1371360351
110,3,5,3/29/2020,1139,27,90,India,1371360351
187,13,49,3/30/2020,1326,40,139,India,1371360351
309,6,15,3/31/2020,1635,46,154,India,1371360351
424,9,16,4/1/2020,2059,55,170,India,1371360351
486,14,22,4/2/2020,2545,69,192,India,1371360351
560,14,38,4/3/2020,3105,83,230,India,1371360351
579,13,56,4/4/2020,3684,96,286,India,1371360351
609,22,43,4/5/2020,4293,118,329,India,1371360351
484,16,65,4/6/2020,4777,134,394,India,1371360351
573,27,75,4/7/2020,5350,161,469,India,1371360351
565,20,96,4/8/2020,5915,181,565,India,1371360351
813,46,70,4/9/2020,6728,227,635,India,1371360351
871,22,151,4/10/2020,7599,249,786,India,1371360351
854,41,186,4/11/2020,8453,290,972,India,1371360351
758,42,114,4/12/2020,9211,332,1086,India,1371360351
1243,27,112,4/13/2020,10454,359,1198,India,1371360351
1031,37,167,4/14/2020,11485,396,1365,India,1371360351
886,27,144,4/15/2020,12371,423,1509,India,1371360351
1061,26,258,4/16/2020,13432,449,1767,India,1371360351
922,38,273,4/17/2020,14354,487,2040,India,1371360351
