,I_p_0.005,I_p_0.007,I_p_0.01,I_p_0.05,I_predict,R_p_0.005,R_p_0.007,R_p_0.01,R_p_0.05,R_predict,S_p_0.005,S_p_0.007,S_p_0.01,S_p_0.05,V_p_0.005,V_p_0.007,V_p_0.01,V_p_0.05,beta,gamma,Region,Population,Date,I_actual,R_actual,S_actual,index,Confirmed,Deceased,Recovered,totalConfirmed,totalFatalities,totalRecovered
0,70.0,70.0,70.0,70.0,70.0,11.0,11.0,11.0,11.0,11.0,1371360270.0,1371360270.0,1371360270.0,1371360270.0,0.0,0.0,0.0,0.0,0.0,0.0,India,1371360351,2020-03-14,70.0,11.0,11.0,0.0,81.0,2.0,9.0,81.0,2.0,9.0
1,93.0,93.0,93.0,93.0,93.0,15.0,15.0,15.0,15.0,15.0,1371360243.0,1371360243.0,1371360243.0,1371360243.0,0.0,0.0,0.0,0.0,0.3857143084966703,0.05714285714285714,India,1371360351,2020-03-15,93.0,15.0,15.0,1.0,27.0,0.0,4.0,108.0,2.0,13.0
2,107.0,107.0,107.0,107.0,107.0,16.0,16.0,16.0,16.0,16.0,1371360228.0,1371360228.0,1371360228.0,1371360228.0,0.0,0.0,0.0,0.0,0.16129033528289094,0.010752688172043012,India,1371360351,2020-03-16,107.0,16.0,16.0,2.0,15.0,0.0,1.0,123.0,2.0,14.0
3,116.0,116.0,116.0,116.0,116.0,18.0,18.0,18.0,18.0,18.0,1371360217.0,1371360217.0,1371360217.0,1371360217.0,0.0,0.0,0.0,0.0,0.10280374753842679,0.018691588785046728,India,1371360351,2020-03-17,116.0,18.0,18.0,3.0,11.0,1.0,1.0,134.0,3.0,15.0
4,153.0,153.0,153.0,153.0,153.0,18.0,18.0,18.0,18.0,18.0,1371360180.0,1371360180.0,1371360180.0,1371360180.0,0.0,0.0,0.0,0.0,0.3189655484085218,0.0,India,1371360351,2020-03-18,153.0,18.0,18.0,4.0,37.0,0.0,0.0,171.0,3.0,15.0
5,174.0,174.0,174.0,174.0,174.0,24.0,24.0,24.0,24.0,24.0,1371360153.0,1371360153.0,1371360153.0,1371360153.0,0.0,0.0,0.0,0.0,0.17647061024006794,0.0392156862745098,India,1371360351,2020-03-19,174.0,24.0,24.0,5.0,27.0,1.0,5.0,198.0,4.0,20.0
6,229.0,229.0,229.0,229.0,229.0,27.0,27.0,27.0,27.0,27.0,1371360095.0,1371360095.0,1371360095.0,1371360095.0,0.0,0.0,0.0,0.0,0.3333333814607343,0.017241379310344827,India,1371360351,2020-03-20,229.0,27.0,27.0,6.0,58.0,0.0,3.0,256.0,4.0,23.0
7,307.0,307.0,307.0,307.0,307.0,27.0,27.0,27.0,27.0,27.0,1371360017.0,1371360017.0,1371360017.0,1371360017.0,0.0,0.0,0.0,0.0,0.34061141729575123,0.0,India,1371360351,2020-03-21,307.0,27.0,27.0,7.0,78.0,0.0,0.0,334.0,4.0,23.0
8,371.0,371.0,371.0,371.0,371.0,30.0,30.0,30.0,30.0,30.0,1371359950.0,1371359950.0,1371359950.0,1371359950.0,0.0,0.0,0.0,0.0,0.21824109549872106,0.009771986970684038,India,1371360351,2020-03-22,371.0,30.0,30.0,8.0,67.0,3.0,0.0,401.0,7.0,23.0
9,459.0,459.0,459.0,459.0,459.0,44.0,44.0,44.0,44.0,44.0,1371359848.0,1371359848.0,1371359848.0,1371359848.0,0.0,0.0,0.0,0.0,0.2749326949484296,0.03773584905660377,India,1371360351,2020-03-23,459.0,44.0,44.0,9.0,102.0,2.0,12.0,503.0,9.0,35.0
10,517.0,517.0,517.0,517.0,517.0,50.0,50.0,50.0,50.0,50.0,1371359784.0,1371359784.0,1371359784.0,1371359784.0,0.0,0.0,0.0,0.0,0.13943360234097965,0.013071895424836602,India,1371360351,2020-03-24,517.0,50.0,50.0,10.0,64.0,1.0,5.0,567.0,10.0,40.0
11,603.0,603.0,603.0,603.0,603.0,54.0,54.0,54.0,54.0,54.0,1371359694.0,1371359694.0,1371359694.0,1371359694.0,0.0,0.0,0.0,0.0,0.17408130988634704,0.007736943907156673,India,1371360351,2020-03-25,603.0,54.0,54.0,11.0,90.0,1.0,3.0,657.0,11.0,43.0
12,656.0,656.0,656.0,656.0,656.0,66.0,66.0,66.0,66.0,66.0,1371359629.0,1371359629.0,1371359629.0,1371359629.0,0.0,0.0,0.0,0.0,0.10779441316853479,0.01990049751243781,India,1371360351,2020-03-26,656.0,66.0,66.0,12.0,65.0,5.0,7.0,722.0,16.0,50.0
13,791.0,791.0,791.0,791.0,791.0,95.0,95.0,95.0,95.0,95.0,1371359465.0,1371359465.0,1371359465.0,1371359465.0,0.0,0.0,0.0,0.0,0.2500001316212,0.04420731707317073,India,1371360351,2020-03-27,791.0,95.0,95.0,13.0,164.0,3.0,26.0,886.0,19.0,76.0
14,920.0,920.0,920.0,920.0,920.0,109.0,109.0,109.0,109.0,109.0,1371359322.0,1371359322.0,1371359322.0,1371359322.0,0.0,0.0,0.0,0.0,0.18078393475172416,0.017699115044247787,India,1371360351,2020-03-28,920.0,109.0,109.0,14.0,143.0,5.0,9.0,1029.0,24.0,85.0
15,1022.0,1022.0,1022.0,1022.0,1022.0,117.0,117.0,117.0,117.0,117.0,1371359212.0,1371359212.0,1371359212.0,1371359212.0,0.0,0.0,0.0,0.0,0.11956530710711166,0.008695652173913044,India,1371360351,2020-03-29,1022.0,117.0,117.0,15.0,110.0,3.0,5.0,1139.0,27.0,90.0
16,1147.0,1147.0,1147.0,1147.0,1147.0,179.0,179.0,179.0,179.0,179.0,1371359025.0,1371359025.0,1371359025.0,1371359025.0,0.0,0.0,0.0,0.0,0.18297471165875817,0.060665362035225046,India,1371360351,2020-03-30,1147.0,179.0,179.0,16.0,187.0,13.0,49.0,1326.0,40.0,139.0
17,1435.0,1435.0,1435.0,1435.0,1435.0,200.0,200.0,200.0,200.0,200.0,1371358716.0,1371358716.0,1371358716.0,1371358716.0,0.0,0.0,0.0,0.0,0.2693986911765705,0.018308631211857017,India,1371360351,2020-03-31,1435.0,200.0,200.0,17.0,309.0,6.0,15.0,1635.0,46.0,154.0
18,1834.0,1834.0,1834.0,1834.0,1834.0,225.0,225.0,225.0,225.0,225.0,1371358292.0,1371358292.0,1371358292.0,1371358292.0,0.0,0.0,0.0,0.0,0.2954707355493024,0.017421602787456445,India,1371360351,2020-04-01,1834.0,225.0,225.0,18.0,424.0,9.0,16.0,2059.0,55.0,170.0
19,2284.0,2284.0,2284.0,2284.0,2284.0,261.0,261.0,261.0,261.0,261.0,1371357806.0,1371357806.0,1371357806.0,1371357806.0,0.0,0.0,0.0,0.0,0.26499494530835255,0.019629225736095966,India,1371360351,2020-04-02,2284.0,261.0,261.0,19.0,486.0,14.0,22.0,2545.0,69.0,192.0
20,2792.0,2792.0,2792.0,2792.0,2792.0,313.0,313.0,313.0,313.0,313.0,1371357246.0,1371357246.0,1371357246.0,1371357246.0,0.0,0.0,0.0,0.0,0.2451843429343078,0.02276707530647986,India,1371360351,2020-04-03,2792.0,313.0,313.0,20.0,560.0,14.0,38.0,3105.0,83.0,230.0
21,3302.0,3302.0,3302.0,3302.0,3302.0,382.0,382.0,382.0,382.0,382.0,1371356667.0,1371356667.0,1371356667.0,1371356667.0,0.0,0.0,0.0,0.0,0.20737869303738113,0.0247134670487106,India,1371360351,2020-04-04,3302.0,382.0,382.0,21.0,579.0,13.0,56.0,3684.0,96.0,286.0
22,3846.0,3846.0,3846.0,3846.0,3846.0,447.0,447.0,447.0,447.0,447.0,1371356058.0,1371356058.0,1371356058.0,1371356058.0,0.0,0.0,0.0,0.0,0.18443417202060164,0.01968503937007874,India,1371360351,2020-04-05,3846.0,447.0,447.0,22.0,609.0,22.0,43.0,4293.0,118.0,329.0
